Loss Function,samplesize,run,nu,TPR,TNR,Accuracy,AUC,Concordance
exponential,14000,2,0.8,0.763,0.675714286,0.719357143,0.800721153,80.07059388
exponential,14000,2,0.9,0.745142857,0.692571429,0.718857143,0.795279122,79.51217755
exponential,14000,2,1,0.751714286,0.685571429,0.718642857,0.801347398,80.12944898
exponential,15000,1,0.1,0.758933333,0.677733333,0.718333333,0.799109724,79.87705422
exponential,15000,1,0.2,0.761866667,0.682533333,0.7222,0.802050107,80.18688
exponential,15000,1,0.3,0.7524,0.686933333,0.719666667,0.79995784,79.99216356
exponential,15000,1,0.4,0.766666667,0.678266667,0.722466667,0.803217547,80.31983822
exponential,15000,1,0.5,0.768,0.672533333,0.720266667,0.803071084,80.30004267
exponential,15000,1,0.6,0.759333333,0.684133333,0.721733333,0.802301422,80.22328178
exponential,15000,1,0.7,0.765466667,0.6768,0.721133333,0.801169404,80.113024
exponential,15000,1,0.8,0.768933333,0.682266667,0.7256,0.803787467,80.376304
exponential,15000,1,0.9,0.772666667,0.676666667,0.724666667,0.802333076,80.22946844
exponential,15000,1,1,0.7688,0.674133333,0.721466667,0.802809511,80.27678933
exponential,15000,2,0.1,0.754933333,0.682133333,0.718533333,0.79415584,79.38414756
exponential,15000,2,0.2,0.757866667,0.6812,0.719533333,0.796033476,79.59408889
exponential,15000,2,0.3,0.755466667,0.689066667,0.722266667,0.795975022,79.58310222
exponential,15000,2,0.4,0.759333333,0.682933333,0.721133333,0.796174729,79.59970311
exponential,15000,2,0.5,0.763066667,0.674533333,0.7188,0.796589102,79.64054933
exponential,15000,2,0.6,0.761333333,0.671866667,0.7166,0.797195618,79.70643733
exponential,15000,2,0.7,0.7464,0.688933333,0.717666667,0.796977378,79.67074311
exponential,15000,2,0.8,0.752133333,0.695333333,0.723733333,0.800041013,79.99600711
exponential,15000,2,0.9,0.7424,0.700133333,0.721266667,0.800510178,80.03864711
exponential,15000,2,1,0.767066667,0.667066667,0.717066667,0.795875689,79.57931378
exponential,16000,1,0.1,0.7465,0.68825,0.717375,0.795237242,79.50860469
exponential,16000,1,0.2,0.752875,0.678125,0.7155,0.79673675,79.65802656
exponential,16000,1,0.3,0.746625,0.689,0.7178125,0.799157453,79.91028594
exponential,16000,1,0.4,0.766625,0.6715,0.7190625,0.798121617,79.81001094
exponential,16000,1,0.5,0.754,0.6845,0.71925,0.797969609,79.78965625
exponential,16000,1,0.6,0.7575,0.68525,0.721375,0.799851414,79.98194844
exponential,16000,1,0.7,0.77575,0.66525,0.7205,0.797945313,79.78927813
exponential,16000,1,0.8,0.76425,0.671125,0.7176875,0.798454695,79.83658281
exponential,16000,1,0.9,0.766875,0.674,0.7204375,0.798542313,79.843475
exponential,16000,1,1,0.7555,0.674875,0.7151875,0.797123461,79.70906719
exponential,16000,2,0.1,0.7495,0.674625,0.7120625,0.793566313,79.34421875
exponential,16000,2,0.2,0.748,0.677625,0.7128125,0.791745625,79.16422656
exponential,16000,2,0.3,0.759125,0.66775,0.7134375,0.793817102,79.37399375
exponential,16000,2,0.4,0.751,0.68075,0.715875,0.795083984,79.50041719
exponential,16000,2,0.5,0.76025,0.675,0.717625,0.796439469,79.64058281
exponential,16000,2,0.6,0.75275,0.68725,0.72,0.795830547,79.57790313
exponential,16000,2,0.7,0.75325,0.6785,0.715875,0.797255508,79.7222625
exponential,16000,2,0.8,0.7535,0.673625,0.7135625,0.794084125,79.40114063
exponential,16000,2,0.9,0.746875,0.677,0.7119375,0.79326518,79.32318906
exponential,16000,2,1,0.7305,0.697625,0.7140625,0.794540773,79.44280781
exponential,17000,1,0.1,0.760823529,0.679529412,0.720176471,0.804547765,80.44400415
exponential,17000,1,0.2,0.765882353,0.679176471,0.722529412,0.804731412,80.46184913
exponential,17000,1,0.3,0.760823529,0.684588235,0.722705882,0.803682609,80.35393495
exponential,17000,1,0.4,0.772117647,0.676,0.724058824,0.805102457,80.49511834
exponential,17000,1,0.5,0.754823529,0.694941176,0.724882353,0.804877439,80.48203737
exponential,17000,1,0.6,0.765294118,0.684235294,0.724764706,0.805233003,80.51611903
exponential,17000,1,0.7,0.767764706,0.685647059,0.726705882,0.807213336,80.70982284
exponential,17000,1,0.8,0.745882353,0.7,0.722941176,0.805179585,80.5142699
exponential,17000,1,0.9,0.759882353,0.692235294,0.726058824,0.80566182,80.56324429
exponential,17000,1,1,0.757411765,0.688705882,0.723058824,0.802233779,80.21537578
exponential,17000,2,0.1,0.748705882,0.678705882,0.713705882,0.793347163,79.31178408
exponential,17000,2,0.2,0.747882353,0.681058824,0.714470588,0.795195522,79.50831003
exponential,17000,2,0.3,0.744117647,0.686117647,0.715117647,0.795343799,79.53050104
exponential,17000,2,0.4,0.749411765,0.679058824,0.714235294,0.794949349,79.48508651
exponential,17000,2,0.5,0.752352941,0.682470588,0.717411765,0.795939349,79.58938685
exponential,17000,2,0.6,0.744588235,0.686941176,0.715764706,0.796503128,79.64679585
exponential,17000,2,0.7,0.750705882,0.680235294,0.715470588,0.795267744,79.52034879
exponential,17000,2,0.8,0.755294118,0.678705882,0.717,0.797144464,79.71033218
exponential,17000,2,0.9,0.744941176,0.695176471,0.720058824,0.798379273,79.83082907
exponential,17000,2,1,0.739647059,0.692470588,0.716058824,0.795484325,79.53652595
exponential,18000,1,0.1,0.763,0.672444444,0.717722222,0.796526642,79.61391605
exponential,18000,1,0.2,0.757777778,0.677333333,0.717555556,0.797130346,79.69364444
exponential,18000,1,0.3,0.760222222,0.679888889,0.720055556,0.800389691,80.03630247
exponential,18000,1,0.4,0.759333333,0.675111111,0.717222222,0.798393883,79.82615062
exponential,18000,1,0.5,0.769666667,0.666111111,0.717888889,0.79849684,79.84501111
exponential,18000,1,0.6,0.758222222,0.685888889,0.722055556,0.801220673,80.11997037
exponential,18000,1,0.7,0.745444444,0.691,0.718222222,0.798966463,79.8911
exponential,18000,1,0.8,0.768777778,0.672444444,0.720611111,0.801028759,80.09613951
exponential,18000,1,0.9,0.753222222,0.688666667,0.720944444,0.799131809,79.90038765
exponential,18000,1,1,0.762111111,0.675222222,0.718666667,0.796345901,79.63012099
exponential,18000,2,0.1,0.754444444,0.674111111,0.714277778,0.796864802,79.66875309
exponential,18000,2,0.2,0.759222222,0.675222222,0.717222222,0.79827863,79.81124938
exponential,18000,2,0.3,0.753888889,0.679777778,0.716833333,0.798166105,79.80501111
exponential,18000,2,0.4,0.758333333,0.676777778,0.717555556,0.798539611,79.84527531
exponential,18000,2,0.5,0.763333333,0.671888889,0.717611111,0.798713444,79.85440494
exponential,18000,2,0.6,0.759666667,0.678777778,0.719222222,0.799680278,79.96519506
exponential,18000,2,0.7,0.762,0.67,0.716,0.797589389,79.73142963
exponential,18000,2,0.8,0.761333333,0.674444444,0.717888889,0.798723599,79.86226914
exponential,18000,2,0.9,0.753111111,0.681666667,0.717388889,0.800368549,80.02935556
exponential,18000,2,1,0.742,0.685444444,0.713722222,0.79551713,79.54111235
exponential,19000,1,0.1,0.758210526,0.673894737,0.716052632,0.795484421,79.50565319
exponential,19000,1,0.2,0.758315789,0.675578947,0.716947368,0.797572321,79.73846648
exponential,19000,1,0.3,0.763368421,0.666736842,0.715052632,0.795394809,79.51850083
exponential,19000,1,0.4,0.762526316,0.672947368,0.717736842,0.796956288,79.66389917
exponential,19000,1,0.5,0.756105263,0.674842105,0.715473684,0.795322609,79.51997452
exponential,19000,1,0.6,0.758210526,0.677789474,0.718,0.798404105,79.82871247
exponential,19000,1,0.7,0.770421053,0.660105263,0.715263158,0.796548332,79.6449662
exponential,19000,1,0.8,0.756947368,0.680105263,0.718526316,0.797544936,79.74322216
exponential,19000,1,0.9,0.758210526,0.673052632,0.715631579,0.796770709,79.65460831
exponential,19000,1,1,0.754210526,0.688,0.721105263,0.800030842,79.99475346
exponential,19000,2,0.1,0.757473684,0.677578947,0.717526316,0.79609687,79.56675235
exponential,19000,2,0.2,0.756631579,0.674210526,0.715421053,0.796923402,79.66359557
exponential,19000,2,0.3,0.757052632,0.677368421,0.717210526,0.797736809,79.76304488
exponential,19000,2,0.4,0.757157895,0.677052632,0.717105263,0.796514211,79.6402338
exponential,19000,2,0.5,0.757684211,0.674210526,0.715947368,0.797285568,79.71544709
exponential,19000,2,0.6,0.754631579,0.676421053,0.715526316,0.796367008,79.62929418
exponential,19000,2,0.7,0.756105263,0.674210526,0.715157895,0.797397191,79.73308033
exponential,19000,2,0.8,0.767578947,0.673052632,0.720315789,0.79783656,79.77128089
exponential,19000,2,0.9,0.748210526,0.682210526,0.715210526,0.795598161,79.54928643
exponential,19000,2,1,0.771368421,0.673368421,0.722368421,0.799810548,79.96491745
exponential,20000,1,0.1,0.7574,0.6783,0.71785,0.79683513,79.666109
exponential,20000,1,0.2,0.755,0.6797,0.71735,0.797329465,79.71815
exponential,20000,1,0.3,0.7528,0.6845,0.71865,0.79715795,79.707818
exponential,20000,1,0.4,0.7655,0.675,0.72025,0.79747345,79.737059
exponential,20000,1,0.5,0.7552,0.6834,0.7193,0.798777275,79.873082
exponential,20000,1,0.6,0.7579,0.682,0.71995,0.79860256,79.854036
exponential,20000,1,0.7,0.7517,0.6805,0.7161,0.798680665,79.863302
exponential,20000,1,0.8,0.7594,0.6803,0.71985,0.79898771,79.89146
exponential,20000,1,0.9,0.781,0.6626,0.7218,0.800170335,80.014213
exponential,20000,1,1,0.7484,0.6896,0.719,0.798407555,79.836802
exponential,20000,2,0.1,0.7601,0.6818,0.72095,0.79910035,79.895023
exponential,20000,2,0.2,0.7571,0.6865,0.7218,0.79976089,79.957146
exponential,20000,2,0.3,0.763,0.6809,0.72195,0.799468465,79.93737
exponential,20000,2,0.4,0.7678,0.6722,0.72,0.800110295,80.0054
exponential,20000,2,0.5,0.7563,0.6839,0.7201,0.798518905,79.844826
exponential,20000,2,0.6,0.7594,0.6844,0.7219,0.79933304,79.927401
exponential,20000,2,0.7,0.7559,0.69,0.72295,0.7984827,79.842794
exponential,20000,2,0.8,0.7472,0.6886,0.7179,0.79835258,79.831558
exponential,20000,2,0.9,0.7707,0.6782,0.72445,0.800878985,80.086652
exponential,20000,2,1,0.7666,0.6771,0.72185,0.80082279,80.079681
logistic,10000,1,0.1,0.7736,0.6786,0.7261,0.80686496,80.673612
logistic,10000,1,0.2,0.7652,0.692,0.7286,0.80828552,80.821804
logistic,10000,1,0.3,0.764,0.6858,0.7249,0.8095321,80.949492
logistic,10000,1,0.4,0.7694,0.6844,0.7269,0.8105666,81.054008
logistic,10000,1,0.5,0.769,0.6916,0.7303,0.8094817,80.944216
logistic,10000,1,0.6,0.777,0.6824,0.7297,0.81128006,81.121408
logistic,10000,1,0.7,0.7702,0.6958,0.733,0.81442912,81.437784
logistic,10000,1,0.8,0.7784,0.6878,0.7331,0.8141735,81.41428
logistic,10000,1,0.9,0.7616,0.703,0.7323,0.81551764,81.550068
logistic,10000,1,1,0.7714,0.7056,0.7385,0.81599484,81.5956
logistic,10000,2,0.1,0.7612,0.6928,0.727,0.80707102,80.697888
logistic,10000,2,0.2,0.7638,0.6908,0.7273,0.80966312,80.962964
logistic,10000,2,0.3,0.7668,0.6964,0.7316,0.81096012,81.093888
logistic,10000,2,0.4,0.7674,0.6952,0.7313,0.81231394,81.219548
logistic,10000,2,0.5,0.7748,0.6972,0.736,0.81374486,81.37356
logistic,10000,2,0.6,0.764,0.7054,0.7347,0.81735878,81.733688
logistic,10000,2,0.7,0.769,0.7072,0.7381,0.81803022,81.80194
logistic,10000,2,0.8,0.7722,0.705,0.7386,0.8152823,81.52642
logistic,10000,2,0.9,0.7716,0.7156,0.7436,0.82134662,82.132108
logistic,10000,2,1,0.7754,0.7054,0.7404,0.82023692,82.021324
logistic,11000,1,0.1,0.774545455,0.685636364,0.730090909,0.80856805,80.85095207
logistic,11000,1,0.2,0.772545455,0.696181818,0.734363636,0.814182281,81.41652893
logistic,11000,1,0.3,0.774,0.698727273,0.736363636,0.814109471,81.4062843
logistic,11000,1,0.4,0.777818182,0.693090909,0.735454545,0.815249504,81.52130248
logistic,11000,1,0.5,0.769272727,0.699818182,0.734545455,0.815568529,81.55536198
logistic,11000,1,0.6,0.778909091,0.693272727,0.736090909,0.817307058,81.72916033
logistic,11000,1,0.7,0.784181818,0.689272727,0.736727273,0.81745276,81.74350413
logistic,11000,1,0.8,0.779454545,0.694727273,0.737090909,0.81833438,81.83182479
logistic,11000,1,0.9,0.780363636,0.694545455,0.737454545,0.818964264,81.89460496
logistic,11000,1,1,0.782545455,0.698727273,0.740636364,0.820908264,82.08967273
logistic,11000,2,0.1,0.765818182,0.691818182,0.728818182,0.80947762,80.93952066
logistic,11000,2,0.2,0.771636364,0.691454545,0.731545455,0.811174215,81.10379174
logistic,11000,2,0.3,0.772181818,0.694727273,0.733454545,0.813820364,81.38010909
logistic,11000,2,0.4,0.774727273,0.685818182,0.730272727,0.811132017,81.10996694
logistic,11000,2,0.5,0.770545455,0.694181818,0.732363636,0.816106149,81.60636694
logistic,11000,2,0.6,0.776,0.696909091,0.736454545,0.814918017,81.48729587
logistic,11000,2,0.7,0.762363636,0.712181818,0.737272727,0.819030165,81.9017686
logistic,11000,2,0.8,0.779272727,0.696,0.737636364,0.81815881,81.81421488
logistic,11000,2,0.9,0.773818182,0.705272727,0.739545455,0.822819355,82.28073058
logistic,11000,2,1,0.772363636,0.701636364,0.737,0.81703557,81.70193058
logistic,12000,1,0.1,0.7605,0.685333333,0.722916667,0.799958403,79.98903333
logistic,12000,1,0.2,0.753833333,0.693666667,0.72375,0.799652556,79.961425
logistic,12000,1,0.3,0.759833333,0.686666667,0.72325,0.802224889,80.22050833
logistic,12000,1,0.4,0.748333333,0.706666667,0.7275,0.802991389,80.29362222
logistic,12000,1,0.5,0.750333333,0.702333333,0.726333333,0.803679292,80.36459167
logistic,12000,1,0.6,0.77,0.686166667,0.728083333,0.806259292,80.62313333
logistic,12000,1,0.7,0.761,0.688,0.7245,0.803276708,80.32441111
logistic,12000,1,0.8,0.764,0.694,0.729,0.804965181,80.49532778
logistic,12000,1,0.9,0.755833333,0.704,0.729916667,0.805958278,80.59355556
logistic,12000,1,1,0.753333333,0.7035,0.728416667,0.805722958,80.56996667
logistic,12000,2,0.1,0.763166667,0.6805,0.721833333,0.801068764,80.09669167
logistic,12000,2,0.2,0.761666667,0.685333333,0.7235,0.802828667,80.2774
logistic,12000,2,0.3,0.763166667,0.685166667,0.724166667,0.803749458,80.37041111
logistic,12000,2,0.4,0.765666667,0.688333333,0.727,0.805968514,80.59513056
logistic,12000,2,0.5,0.756833333,0.6945,0.725666667,0.806898583,80.68806111
logistic,12000,2,0.6,0.7615,0.691666667,0.726583333,0.804822569,80.47781667
logistic,12000,2,0.7,0.760833333,0.693666667,0.72725,0.807129722,80.71153889
logistic,12000,2,0.8,0.774166667,0.686,0.730083333,0.807019125,80.69908889
logistic,12000,2,0.9,0.768833333,0.701666667,0.73525,0.812546347,81.25320556
logistic,12000,2,1,0.7595,0.703,0.73125,0.808815903,80.879375
logistic,13000,1,0.1,0.757230769,0.680461538,0.718846154,0.798510379,79.83809467
logistic,13000,1,0.2,0.756,0.687076923,0.721538462,0.80100955,80.08252781
logistic,13000,1,0.3,0.753384615,0.690615385,0.722,0.801315396,80.12552189
logistic,13000,1,0.4,0.758153846,0.696307692,0.727230769,0.803145976,80.30942959
logistic,13000,1,0.5,0.756,0.693230769,0.724615385,0.800240734,80.01338462
logistic,13000,1,0.6,0.755692308,0.689846154,0.722769231,0.803071503,80.30018935
logistic,13000,1,0.7,0.758153846,0.687384615,0.722769231,0.802807882,80.2776213
logistic,13000,1,0.8,0.758153846,0.689076923,0.723615385,0.803861077,80.37545089
logistic,13000,1,0.9,0.760923077,0.696923077,0.728923077,0.807231337,80.7172
logistic,13000,1,1,0.747230769,0.714769231,0.731,0.806542391,80.65194083
logistic,13000,2,0.1,0.762461538,0.671692308,0.717076923,0.795865089,79.56109586
logistic,13000,2,0.2,0.761538462,0.674153846,0.717846154,0.79681555,79.67561657
logistic,13000,2,0.3,0.761384615,0.680923077,0.721153846,0.798933101,79.88063905
logistic,13000,2,0.4,0.771384615,0.675076923,0.723230769,0.797728888,79.76022722
logistic,13000,2,0.5,0.753076923,0.682769231,0.717923077,0.797649124,79.75226509
logistic,13000,2,0.6,0.766153846,0.672153846,0.719153846,0.799800982,79.97169941
logistic,13000,2,0.7,0.763846154,0.678,0.720923077,0.79877,79.85392189
logistic,13000,2,0.8,0.746307692,0.697384615,0.721846154,0.799246899,79.91831716
logistic,13000,2,0.9,0.763846154,0.682,0.722923077,0.801712237,80.1652
logistic,13000,2,1,0.768461538,0.678769231,0.723615385,0.803973396,80.39171598
logistic,14000,1,0.1,0.757714286,0.680857143,0.719285714,0.800317082,80.00501633
logistic,14000,1,0.2,0.765285714,0.677714286,0.7215,0.801441112,80.13541429
logistic,14000,1,0.3,0.757571429,0.692142857,0.724857143,0.802566122,80.2520449
logistic,14000,1,0.4,0.765714286,0.681142857,0.723428571,0.804890898,80.4836551
logistic,14000,1,0.5,0.760428571,0.686,0.723214286,0.802384592,80.23555714
logistic,14000,1,0.6,0.758285714,0.692714286,0.7255,0.805610439,80.55103061
logistic,14000,1,0.7,0.777571429,0.672428571,0.725,0.805552071,80.55072449
logistic,14000,1,0.8,0.765857143,0.689285714,0.727571429,0.805978612,80.59599796
logistic,14000,1,0.9,0.77,0.686428571,0.728214286,0.80541298,80.53686939
logistic,14000,1,1,0.763,0.692714286,0.727857143,0.806670551,80.66421837
logistic,14000,2,0.1,0.755142857,0.669857143,0.7125,0.793815541,79.35031633
logistic,14000,2,0.2,0.748142857,0.685142857,0.716642857,0.795188796,79.50340204
logistic,14000,2,0.3,0.758857143,0.681285714,0.720071429,0.796895786,79.6774102
logistic,14000,2,0.4,0.758857143,0.682,0.720428571,0.800016776,80.00015918
logistic,14000,2,0.5,0.750142857,0.692285714,0.721214286,0.79982601,79.97884286
logistic,14000,2,0.6,0.769714286,0.675571429,0.722642857,0.799600235,79.9499102
logistic,14000,2,0.7,0.760857143,0.685,0.722928571,0.801537286,80.14825918
logistic,14000,2,0.8,0.765,0.679714286,0.722357143,0.799508582,79.94622653
logistic,14000,2,0.9,0.764142857,0.683428571,0.723785714,0.799957786,79.99335102
logistic,14000,2,1,0.764285714,0.689285714,0.726785714,0.800893633,80.08680816
logistic,15000,1,0.1,0.752133333,0.685733333,0.718933333,0.801274391,80.109888
logistic,15000,1,0.2,0.752,0.688,0.72,0.801140702,80.10448
logistic,15000,1,0.3,0.756933333,0.688266667,0.7226,0.802161449,80.20767289
logistic,15000,1,0.4,0.756933333,0.691866667,0.7244,0.803906631,80.38292267
logistic,15000,1,0.5,0.7592,0.689066667,0.724133333,0.803297164,80.325152
logistic,15000,1,0.6,0.754,0.690933333,0.722466667,0.802511938,80.24722311
logistic,15000,1,0.7,0.758533333,0.6976,0.728066667,0.805028124,80.49920533
logistic,15000,1,0.8,0.7544,0.698,0.7262,0.804335476,80.42888
logistic,15000,1,0.9,0.753466667,0.706666667,0.730066667,0.805257369,80.52070222
logistic,15000,1,1,0.752,0.697333333,0.724666667,0.804420809,80.43938489
logistic,15000,2,0.1,0.757066667,0.681466667,0.719266667,0.800356444,80.00683733
logistic,15000,2,0.2,0.755866667,0.6912,0.723533333,0.802431244,80.23463289
