"samplesize","run","nu","AUC","Concordance"
5000,1,0.1,0.79387008,79.387008
5000,1,0.4,0.8105552,81.05552
5000,1,0.7,0.81997008,81.997008
5000,1,1,0.827731039999997,82.773104
5000,1,1.5,0.838307360000003,83.830736
5000,1,3,0.858401599999996,85.84016
5000,1,5,0.87416063999999,87.416064
5000,1,10,0.893398240000008,89.339824
5000,1,20,0.90980784,90.980784
6000,1,0.1,0.786227166666666,78.6227111111111
6000,1,0.4,0.802911833333331,80.2911777777778
6000,1,0.7,0.812420388888891,81.2420333333333
6000,1,1,0.82033183333333,82.0331777777778
6000,1,1.5,0.830880055555558,83.088
6000,1,3,0.849934833333336,84.9934777777778
6000,1,0.1,0.787107777777779,78.7107666666667
6000,1,0.4,0.807629666666663,80.7629555555556
6000,1,0.7,0.819171222222222,81.9171111111111
6000,1,1,0.827208333333332,82.7208222222222
6000,1,1.5,0.837701111111119,83.7701
6000,1,3,0.857459222222228,85.7459111111111
6000,1,5,0.870855999999996,87.0855888888889
6000,1,10,0.889589,88.9588888888889
6000,1,20,0.905916555555549,90.5916444444444
7000,1,0.1,0.792636081632657,79.2636081632653
7000,1,0.4,0.808962448979594,80.8962448979592
7000,1,0.7,0.818576571428575,81.8576571428571
7000,1,1,0.825761224489792,82.5761224489796
7000,1,1.5,0.835105632653058,83.5105632653061
7000,1,3,0.852555265306126,85.2555265306122
7000,1,5,0.86630318367346,86.6303183673469
7000,1,10,0.885454693877549,88.5454693877551
7000,1,20,0.90254187755102,90.254187755102
8000,1,0.1,0.778962031250001,77.8962
8000,1,0.4,0.797679593749997,79.76795625
8000,1,0.7,0.808301718750004,80.83016875
8000,1,1,0.816244968750001,81.62449375
8000,1,1.5,0.826458093749996,82.64580625
8000,1,3,0.844592718750003,84.45926875
8000,1,5,0.858072531249993,85.80725
8000,1,10,0.878439843750013,87.84398125
8000,1,20,0.896959843749994,89.69598125
9000,1,0.1,0.792883234567904,79.2883209876543
9000,1,0.4,0.8082897037037,80.8289679012346
9000,1,0.7,0.817402296296289,81.7402271604938
9000,1,1,0.824024419753081,82.4024395061728
9000,1,1.5,0.832655728395072,83.2655703703704
9000,1,3,0.849021851851854,84.9021827160494
9000,1,5,0.862163975308641,86.2163950617284
9000,1,10,0.879817950617293,87.9817925925926
9000,1,20,0.898046444444444,89.8046419753086
10000,1,0.1,0.795812060000002,79.581204
10000,1,0.4,0.812380619999996,81.23806
10000,1,0.7,0.821531340000006,82.153132
10000,1,1,0.828128939999998,82.812892
10000,1,1.5,0.836624979999999,83.662496
10000,1,3,0.853109099999989,85.310908
10000,1,5,0.864718220000007,86.47182
10000,1,10,0.880596699999999,88.059668
10000,1,20,0.896680980000008,89.668096
11000,1,0.1,0.779851421487603,77.9851404958678
11000,1,0.4,0.795246066115702,79.5246049586777
11000,1,0.7,0.803954661157026,80.3954644628099
11000,1,1,0.810513140495869,81.0513123966942
11000,1,1.5,0.819366099173557,81.9366082644628
11000,1,3,0.836154892561987,83.6154876033058
11000,1,5,0.849130264462806,84.9130247933884
11000,1,10,0.866359719008277,86.6359702479339
11000,1,20,0.883579553718991,88.3579537190083
12000,1,0.1,0.78745569444445,78.7455666666667
12000,1,0.4,0.80320025,80.3200222222222
12000,1,0.7,0.812486138888886,81.2486111111111
12000,1,1,0.81973141666666,81.9731388888889
12000,1,1.5,0.828964944444451,82.8964916666667
12000,1,3,0.845950638888887,84.5950611111111
12000,1,5,0.858381111111109,85.8381083333333
12000,1,10,0.874743138888894,87.4743111111111
12000,1,20,0.891002305555557,89.1002277777778
13000,1,0.1,0.790389881656805,79.0389869822485
13000,1,0.4,0.8036833964497,80.3683384615385
13000,1,0.7,0.811807088757398,81.1807076923077
13000,1,1,0.818592958579874,81.8592946745562
