"samplesize","run","TPR","TNR","Accuracy","AUC","Concordance"
15000,1,0.744666666666667,0.670266666666667,0.707466666666667,0.779940719999998,0.779940711111111
15000,2,0.756666666666667,0.655066666666667,0.705866666666667,0.778721617777776,0.778721564444444
15000,3,0.745733333333333,0.674533333333333,0.710133333333333,0.777820088888885,0.777820088888889
15000,4,0.7488,0.665866666666667,0.707333333333333,0.778854026666661,0.778853582222222
15000,5,0.742666666666667,0.661733333333333,0.7022,0.771247608888881,0.771247591111111
16000,1,0.755375,0.66375,0.7095625,0.777330460937498,0.777330453125
16000,2,0.74925,0.66525,0.70725,0.7756945,0.7756945
16000,3,0.751,0.677875,0.7144375,0.7799813203125,0.7799813125
16000,4,0.74725,0.667,0.707125,0.779521789062505,0.779521765625
16000,5,0.7545,0.670625,0.7125625,0.783554734375002,0.78355459375
17000,1,0.748,0.664823529411765,0.706411764705882,0.775836678200694,0.775836664359862
17000,2,0.742705882352941,0.672588235294118,0.707647058823529,0.778852235294117,0.778852235294118
17000,3,0.754588235294118,0.664941176470588,0.709764705882353,0.780107598615917,0.780107584775086
17000,4,0.751058823529412,0.664941176470588,0.708,0.777427667820074,0.777427612456747
17000,5,0.750941176470588,0.671882352941176,0.711411764705882,0.777625086505195,0.777625065743945
18000,1,0.750222222222222,0.673111111111111,0.711666666666667,0.780693055555562,0.780693024691358
18000,2,0.750111111111111,0.684111111111111,0.717111111111111,0.788755432098761,0.788755432098765
18000,3,0.752555555555556,0.663222222222222,0.707888888888889,0.777703932098759,0.777703901234568
18000,4,0.752888888888889,0.675666666666667,0.714277777777778,0.783923265432101,0.783923259259259
18000,5,0.750222222222222,0.674,0.712111111111111,0.784379827160493,0.784379802469136
19000,1,0.759052631578947,0.672421052631579,0.715736842105263,0.782533977839335,0.782533950138504
19000,2,0.749684210526316,0.673157894736842,0.711421052631579,0.779654792243769,0.779654792243767
19000,3,0.751684210526316,0.67,0.710842105263158,0.777743722991683,0.777741163434903
19000,4,0.756736842105263,0.663368421052632,0.710052631578947,0.783998426592793,0.783997174515235
19000,5,0.752947368421053,0.663263157894737,0.708105263157895,0.777119650969522,0.777119645429363
20000,1,0.757,0.6709,0.71395,0.784343895000002,0.78434001
20000,2,0.7412,0.6607,0.70095,0.772079259999994,0.77207675
20000,3,0.7468,0.6763,0.71155,0.780845319999999,0.78084302
20000,4,0.7387,0.6743,0.7065,0.778993994999998,0.77899158
20000,5,0.756,0.671,0.7135,0.78333121,0.78332948
21000,1,0.747333333333333,0.666095238095238,0.706714285714286,0.776034435374145,0.776034394557823
21000,2,0.745238095238095,0.662190476190476,0.703714285714286,0.774799600907032,0.77479956462585
21000,3,0.752285714285714,0.668380952380952,0.710333333333333,0.778797115646267,0.778796888888889
21000,4,0.752571428571429,0.66247619047619,0.70752380952381,0.77669867573697,0.776698639455782
21000,5,0.745619047619048,0.670952380952381,0.708285714285714,0.778826199546487,0.778826185941043
22000,1,0.753545454545455,0.668363636363636,0.710954545454546,0.781342822314044,0.78134279338843
22000,2,0.752181818181818,0.668272727272727,0.710227272727273,0.781125297520663,0.781123636363636
22000,3,0.751272727272727,0.664818181818182,0.708045454545455,0.776334190082638,0.776334181818182
22000,4,0.748545454545455,0.663454545454545,0.706,0.776391347107446,0.776391338842975
22000,5,0.753818181818182,0.676454545454545,0.715136363636364,0.781699099173562,0.781699090909091
23000,1,0.749478260869565,0.667739130434783,0.708608695652174,0.775392226843103,0.775391047258979
23000,2,0.742434782608696,0.669913043478261,0.706173913043478,0.776947999999991,0.776947871455577
23000,3,0.744521739130435,0.66904347826087,0.706782608695652,0.779170113421554,0.779170102079395
23000,4,0.755217391304348,0.669739130434783,0.712478260869565,0.782103364839321,0.782103357277883
23000,5,0.757739130434783,0.671739130434783,0.714739130434783,0.784574623818521,0.784574608695652
24000,1,0.749333333333333,0.66475,0.707041666666667,0.779434090277779,0.779434076388889
24000,2,0.750166666666667,0.6645,0.707333333333333,0.774085222222223,0.774085215277778
24000,3,0.746916666666667,0.667,0.706958333333333,0.775416190972219,0.775416152777778
24000,4,0.749583333333333,0.663333333333333,0.706458333333333,0.779108288194446,0.779108270833333
24000,5,0.744166666666667,0.669583333333333,0.706875,0.775041072916669,0.7750388125
25000,1,0.73992,0.66512,0.70252,0.773842089599998,0.7738420608
25000,2,0.75104,0.6724,0.71172,0.780048211200001,0.780047264
25000,3,0.75248,0.66592,0.7092,0.777765062400005,0.7777650624
25000,4,0.7588,0.67064,0.71472,0.783771020799997,0.783771008
25000,5,0.75048,0.66352,0.707,0.780254799999998,0.7802547648
