samplesize,run,coeflearn,TPR,TNR,Accuracy,CVAccuracy,AUC,Concordance
13000,3,Breiman,0.742461538,0.713846154,0.728153846,0.713153846,0.804210639,0.804197515
13000,3,Freund,0.740769231,0.719846154,0.730307692,0.717,0.807301148,0.80729032
13000,3,Zhu,0.748923077,0.705692308,0.727307692,0.71,0.806061538,0.80605174
13000,4,Breiman,0.736153846,0.726923077,0.731538462,0.723615385,0.812387408,0.812353893
13000,4,Freund,0.744461538,0.729384615,0.736923077,0.719,0.817567089,0.817551337
13000,4,Zhu,0.747846154,0.727692308,0.737769231,0.720153846,0.816431361,0.816401846
13000,5,Breiman,0.74,0.716461538,0.728230769,0.715923077,0.809368473,0.809350911
13000,5,Freund,0.722769231,0.736,0.729384615,0.714153846,0.810764272,0.810752024
13000,5,Zhu,0.745076923,0.719076923,0.732076923,0.718153846,0.81131987,0.811304663
14000,1,Breiman,0.742714286,0.713571429,0.728142857,0.718642857,0.8051925,0.805186551
14000,1,Freund,0.740285714,0.715,0.727642857,0.712642857,0.80836801,0.808360367
14000,1,Zhu,0.744285714,0.719285714,0.731785714,0.7105,0.810369765,0.810360429
14000,2,Breiman,0.754857143,0.711285714,0.733071429,0.7215,0.809133224,0.809114143
14000,2,Freund,0.745714286,0.724,0.734857143,0.717214286,0.812967755,0.812961122
14000,2,Zhu,0.746571429,0.714428571,0.7305,0.716,0.810773071,0.810765327
14000,3,Breiman,0.734428571,0.723857143,0.729142857,0.721071429,0.808948602,0.808907735
14000,3,Freund,0.746,0.719857143,0.732928571,0.712357143,0.813835888,0.813821633
14000,3,Zhu,0.746571429,0.715857143,0.731214286,0.718214286,0.811507367,0.811477429
14000,4,Breiman,0.739142857,0.705285714,0.722214286,0.712857143,0.802709684,0.802657755
14000,4,Freund,0.741,0.712,0.7265,0.712785714,0.806797347,0.806731265
14000,4,Zhu,0.74,0.715857143,0.727928571,0.714285714,0.805564908,0.805551449
14000,5,Breiman,0.748285714,0.72,0.734142857,0.722285714,0.812430214,0.812420327
14000,5,Freund,0.744857143,0.722571429,0.733714286,0.717428571,0.812104122,0.812092592
14000,5,Zhu,0.764,0.688714286,0.726357143,0.717928571,0.809033633,0.809019796
15000,1,Breiman,0.743066667,0.725866667,0.734466667,0.725,0.814118293,0.814095893
15000,1,Freund,0.7428,0.7232,0.733,0.720333333,0.81234176,0.812329618
15000,1,Zhu,0.745333333,0.728133333,0.736733333,0.719666667,0.812895876,0.812876764
15000,2,Breiman,0.730666667,0.715466667,0.723066667,0.7136,0.80079144,0.800760284
15000,2,Freund,0.7608,0.678933333,0.719866667,0.7116,0.803073147,0.803061884
15000,2,Zhu,0.746533333,0.703466667,0.725,0.710933333,0.803278809,0.803267804
15000,3,Breiman,0.751466667,0.714266667,0.732866667,0.7244,0.808516169,0.808456053
15000,3,Freund,0.746266667,0.718266667,0.732266667,0.715066667,0.815295511,0.815249884
15000,3,Zhu,0.7428,0.7212,0.732,0.717733333,0.81246592,0.812449227
15000,4,Breiman,0.723866667,0.7248,0.724333333,0.715666667,0.803240347,0.80319552
15000,4,Freund,0.720533333,0.727066667,0.7238,0.7164,0.802797956,0.802785404
15000,4,Zhu,0.7228,0.731066667,0.726933333,0.712133333,0.804631698,0.804606382
15000,5,Breiman,0.726133333,0.720133333,0.723133333,0.717666667,0.804593467,0.8045848
15000,5,Freund,0.751333333,0.7032,0.727266667,0.714866667,0.807996507,0.807971076
15000,5,Zhu,0.7468,0.711733333,0.729266667,0.7156,0.808243849,0.80823744
16000,1,Breiman,0.731375,0.722,0.7266875,0.719625,0.80796407,0.807951922
16000,1,Freund,0.7405,0.72125,0.730875,0.7149375,0.811375313,0.811358375
16000,1,Zhu,0.73725,0.727875,0.7325625,0.7158125,0.811414438,0.811400078
16000,2,Breiman,0.735125,0.718125,0.726625,0.720625,0.801699453,0.801667297
16000,2,Freund,0.7285,0.72425,0.726375,0.7150625,0.802968906,0.802958797
16000,2,Zhu,0.735625,0.7215,0.7285625,0.714625,0.807107805,0.807095
16000,3,Breiman,0.739375,0.71675,0.7280625,0.7198125,0.80232118,0.802291703
16000,3,Freund,0.736125,0.72725,0.7316875,0.7154375,0.806425594,0.806401516
16000,3,Zhu,0.7445,0.717875,0.7311875,0.719375,0.806401352,0.806372813
16000,4,Breiman,0.74225,0.710125,0.7261875,0.7163125,0.803995516,0.803978547
16000,4,Freund,0.74275,0.710375,0.7265625,0.7135,0.804553352,0.804526078
16000,4,Zhu,0.74025,0.7095,0.724875,0.7145625,0.804083148,0.804063797
16000,5,Breiman,0.72675,0.728875,0.7278125,0.7210625,0.807036703,0.807009859
16000,5,Freund,0.74825,0.715375,0.7318125,0.7163125,0.811193734,0.811166828
16000,5,Zhu,0.73775,0.724,0.730875,0.713125,0.810116383,0.810090406
17000,1,Breiman,0.742705882,0.717176471,0.729941176,0.718588235,0.805900837,0.805881855
17000,1,Freund,0.738352941,0.724823529,0.731588235,0.713058824,0.807691336,0.807626837
17000,1,Zhu,0.732941176,0.727529412,0.730235294,0.715705882,0.809209675,0.809192595
17000,2,Breiman,0.742470588,0.715058824,0.728764706,0.715941176,0.803196201,0.803143972
17000,2,Freund,0.736470588,0.717882353,0.727176471,0.715470588,0.802727723,0.802714353
17000,2,Zhu,0.729647059,0.716705882,0.723176471,0.710941176,0.798502055,0.798481135
17000,3,Breiman,0.738235294,0.724588235,0.731411765,0.720764706,0.810932235,0.810924498
