"samplesize","run","ntree","TPR","TNR","Accuracy","AUC","Concordance"
5000,1,50,0.896,0.4372,0.6666,0.74943632,0.6188368
5000,1,100,0.896,0.4372,0.6666,0.74943632,0.6188368
5000,1,150,0.896,0.4372,0.6666,0.74943632,0.6188368
5000,1,200,0.896,0.4372,0.6666,0.74943632,0.6188368
5000,1,250,0.896,0.4372,0.6666,0.74943632,0.6188368
5000,1,300,0.896,0.4372,0.6666,0.74943632,0.6188368
5000,2,50,0.8972,0.384,0.6406,0.72793616,0.5802528
5000,2,100,0.8972,0.384,0.6406,0.72793616,0.5802528
5000,2,150,0.8972,0.384,0.6406,0.72793616,0.5802528
5000,2,200,0.8972,0.384,0.6406,0.72793616,0.5802528
5000,2,250,0.8972,0.384,0.6406,0.72793616,0.5802528
5000,2,300,0.8972,0.384,0.6406,0.72793616,0.5802528
5000,3,50,0.9124,0.3592,0.6358,0.73076192,0.58983632
5000,3,100,0.9124,0.3592,0.6358,0.73076192,0.58983632
5000,3,150,0.9124,0.3592,0.6358,0.73076192,0.58983632
5000,3,200,0.9124,0.3592,0.6358,0.73076192,0.58983632
5000,3,250,0.9124,0.3592,0.6358,0.73076192,0.58983632
5000,3,300,0.9124,0.3592,0.6358,0.73076192,0.58983632
5000,4,50,0.8296,0.5492,0.6894,0.7540804,0.64794624
5000,4,100,0.8296,0.5492,0.6894,0.7540804,0.64794624
5000,4,150,0.8296,0.5492,0.6894,0.7540804,0.64794624
5000,4,200,0.8296,0.5492,0.6894,0.7540804,0.64794624
5000,4,250,0.8296,0.5492,0.6894,0.7540804,0.64794624
5000,4,300,0.8296,0.5492,0.6894,0.7540804,0.64794624
5000,5,50,0.8468,0.4892,0.668,0.7224796,0.58235168
5000,5,100,0.8468,0.4892,0.668,0.7224796,0.58235168
5000,5,150,0.8468,0.4892,0.668,0.7224796,0.58235168
5000,5,200,0.8468,0.4892,0.668,0.7224796,0.58235168
5000,5,250,0.8468,0.4892,0.668,0.7224796,0.58235168
5000,5,300,0.8468,0.4892,0.668,0.7224796,0.58235168
6000,1,50,0.887,0.376666666666667,0.631833333333333,0.685504277777778,0.534966444444444
6000,1,100,0.887,0.376666666666667,0.631833333333333,0.685504277777778,0.534966444444444
6000,1,150,0.887,0.376666666666667,0.631833333333333,0.685504277777778,0.534966444444444
6000,1,200,0.887,0.376666666666667,0.631833333333333,0.685504277777778,0.534966444444444
6000,1,250,0.887,0.376666666666667,0.631833333333333,0.685504277777778,0.534966444444444
6000,1,300,0.887,0.376666666666667,0.631833333333333,0.685504277777778,0.534966444444444
6000,2,50,0.890333333333333,0.388,0.639166666666667,0.727391833333333,0.582211666666667
6000,2,100,0.890333333333333,0.388,0.639166666666667,0.727391833333333,0.582211666666667
6000,2,150,0.890333333333333,0.388,0.639166666666667,0.727391833333333,0.582211666666667
6000,2,200,0.890333333333333,0.388,0.639166666666667,0.727391833333333,0.582211666666667
6000,2,250,0.890333333333333,0.388,0.639166666666667,0.727391833333333,0.582211666666667
6000,2,300,0.890333333333333,0.388,0.639166666666667,0.727391833333333,0.582211666666667
6000,3,50,0.895,0.408666666666667,0.651833333333333,0.725795277777778,0.582119666666667
6000,3,100,0.895,0.408666666666667,0.651833333333333,0.725795277777778,0.582119666666667
6000,3,150,0.895,0.408666666666667,0.651833333333333,0.725795277777778,0.582119666666667
6000,3,200,0.895,0.408666666666667,0.651833333333333,0.725795277777778,0.582119666666667
6000,3,250,0.895,0.408666666666667,0.651833333333333,0.725795277777778,0.582119666666667
6000,3,300,0.895,0.408666666666667,0.651833333333333,0.725795277777778,0.582119666666667
6000,4,50,0.886333333333333,0.273,0.579666666666667,0.602549555555556,0.334821333333333
6000,4,100,0.886333333333333,0.273,0.579666666666667,0.602549555555556,0.334821333333333
6000,4,150,0.886333333333333,0.273,0.579666666666667,0.602549555555556,0.334821333333333
6000,4,200,0.886333333333333,0.273,0.579666666666667,0.602549555555556,0.334821333333333
6000,4,250,0.886333333333333,0.273,0.579666666666667,0.602549555555556,0.334821333333333
6000,4,300,0.886333333333333,0.273,0.579666666666667,0.602549555555556,0.334821333333333
6000,5,50,0.872333333333333,0.457,0.664666666666667,0.727844388888889,0.587167111111111
6000,5,100,0.872333333333333,0.457,0.664666666666667,0.727844388888889,0.587167111111111
6000,5,150,0.872333333333333,0.457,0.664666666666667,0.727844388888889,0.587167111111111
6000,5,200,0.872333333333333,0.457,0.664666666666667,0.727844388888889,0.587167111111111
6000,5,250,0.872333333333333,0.457,0.664666666666667,0.727844388888889,0.587167111111111
6000,5,300,0.872333333333333,0.457,0.664666666666667,0.727844388888889,0.587167111111111
7000,1,50,0.905428571428571,0.382571428571429,0.644,0.722019306122449,0.574001714285714
7000,1,100,0.905428571428571,0.382571428571429,0.644,0.722019306122449,0.574001714285714
7000,1,150,0.905428571428571,0.382571428571429,0.644,0.722019306122449,0.574001714285714
7000,1,200,0.905428571428571,0.382571428571429,0.644,0.722019306122449,0.574001714285714
7000,1,250,0.905428571428571,0.382571428571429,0.644,0.722019306122449,0.574001714285714
7000,1,300,0.905428571428571,0.382571428571429,0.644,0.722019306122449,0.574001714285714
7000,2,50,0.848,0.44,0.644,0.678415142857143,0.476560816326531
7000,2,100,0.848,0.44,0.644,0.678415142857143,0.476560816326531
7000,2,150,0.848,0.44,0.644,0.678415142857143,0.476560816326531
7000,2,200,0.848,0.44,0.644,0.678415142857143,0.476560816326531
7000,2,250,0.848,0.44,0.644,0.678415142857143,0.476560816326531
7000,2,300,0.848,0.44,0.644,0.678415142857143,0.476560816326531
7000,3,50,0.892,0.426571428571429,0.659285714285714,0.719236571428571,0.573868163265306
7000,3,100,0.892,0.426571428571429,0.659285714285714,0.719236571428571,0.573868163265306
7000,3,150,0.892,0.426571428571429,0.659285714285714,0.719236571428571,0.573868163265306
7000,3,200,0.892,0.426571428571429,0.659285714285714,0.719236571428571,0.573868163265306
7000,3,250,0.892,0.426571428571429,0.659285714285714,0.719236571428571,0.573868163265306
7000,3,300,0.892,0.426571428571429,0.659285714285714,0.719236571428571,0.573868163265306
7000,4,50,0.889714285714286,0.403142857142857,0.646428571428571,0.720922653061224,0.581900571428571
7000,4,100,0.889714285714286,0.403142857142857,0.646428571428571,0.720922653061224,0.581900571428571
7000,4,150,0.889714285714286,0.403142857142857,0.646428571428571,0.720922653061224,0.581900571428571
7000,4,200,0.889714285714286,0.403142857142857,0.646428571428571,0.720922653061224,0.581900571428571
7000,4,250,0.889714285714286,0.403142857142857,0.646428571428571,0.720922653061224,0.581900571428571
7000,4,300,0.889714285714286,0.403142857142857,0.646428571428571,0.720922653061224,0.581900571428571
7000,5,50,0.867714285714286,0.464,0.665857142857143,0.729409755102041,0.592328
7000,5,100,0.867714285714286,0.464,0.665857142857143,0.729409755102041,0.592328
7000,5,150,0.867714285714286,0.464,0.665857142857143,0.729409755102041,0.592328
7000,5,200,0.867714285714286,0.464,0.665857142857143,0.729409755102041,0.592328
7000,5,250,0.867714285714286,0.464,0.665857142857143,0.729409755102041,0.592328
7000,5,300,0.867714285714286,0.464,0.665857142857143,0.729409755102041,0.592328
8000,1,50,0.90825,0.39075,0.6495,0.73925503125,0.602830125
8000,1,100,0.90825,0.39075,0.6495,0.73925503125,0.602830125
8000,1,150,0.90825,0.39075,0.6495,0.73925503125,0.602830125
8000,1,200,0.90825,0.39075,0.6495,0.73925503125,0.602830125
8000,1,250,0.90825,0.39075,0.6495,0.73925503125,0.602830125
8000,1,300,0.90825,0.39075,0.6495,0.73925503125,0.602830125
8000,2,50,0.846,0.45775,0.651875,0.673796875,0.49179525
8000,2,100,0.846,0.45775,0.651875,0.673796875,0.49179525
8000,2,150,0.846,0.45775,0.651875,0.673796875,0.49179525
