"samplesize","run","TPR","TNR","Accuracy","AUC","Concordance"
10000,1,0.7834,0.8134,0.7984,0.87648718,0.87624848
10000,2,0.7512,0.807,0.7791,0.86337606,0.86319392
10000,3,0.7808,0.801,0.7909,0.87186452,0.87173668
10000,4,0.7812,0.811,0.7961,0.8766887,0.87633028
10000,5,0.779,0.8202,0.7996,0.87539338,0.87531548
10000,6,0.7774,0.8048,0.7911,0.8687607,0.8684778
10000,7,0.772,0.832,0.802,0.8772541,0.87708168
10000,8,0.7612,0.8202,0.7907,0.869496,0.86920608
10000,9,0.778,0.821,0.7995,0.87683344,0.87626224
10000,10,0.7656,0.8184,0.792,0.87003654,0.8695394
11000,1,0.764545454545455,0.801090909090909,0.782818181818182,0.864059041322314,0.863781950413223
11000,1,0.771636363636364,0.811090909090909,0.791363636363636,0.870404314049587,0.870025950413223
11000,2,0.775272727272727,0.811090909090909,0.793181818181818,0.870175950413223,0.869207636363636
11000,3,0.757818181818182,0.808727272727273,0.783272727272727,0.863068495867769,0.862697520661157
11000,4,0.768545454545455,0.8,0.784272727272727,0.862258165289256,0.861827107438016
11000,5,0.771090909090909,0.800545454545455,0.785818181818182,0.86690173553719,0.86655626446281
11000,6,0.755818181818182,0.815454545454545,0.785636363636364,0.865249190082645,0.865043041322314
11000,7,0.77,0.810181818181818,0.790090909090909,0.865818776859504,0.865604462809917
11000,8,0.756363636363636,0.813090909090909,0.784727272727273,0.861058991735537,0.860622842975207
11000,9,0.763636363636364,0.812545454545455,0.788090909090909,0.86634667768595,0.865969454545455
11000,10,0.759272727272727,0.814181818181818,0.786727272727273,0.865493752066116,0.86477547107438
12000,1,0.768333333333333,0.806833333333333,0.787583333333333,0.862831347222222,0.862549472222222
12000,2,0.778,0.783666666666667,0.780833333333333,0.860981430555556,0.860679361111111
12000,3,0.767333333333333,0.792833333333333,0.780083333333333,0.860055263888889,0.859780055555556
12000,4,0.773833333333333,0.791833333333333,0.782833333333333,0.862608888888889,0.862420416666667
12000,5,0.772166666666667,0.811333333333333,0.79175,0.869852111111111,0.869468777777778
12000,6,0.774666666666667,0.805,0.789833333333333,0.867672541666667,0.867534944444444
12000,7,0.771,0.793333333333333,0.782166666666667,0.860955583333333,0.860712861111111
12000,8,0.764166666666667,0.7915,0.777833333333333,0.860084236111111,0.859908194444444
12000,9,0.776166666666667,0.791333333333333,0.78375,0.861784555555556,0.861175888888889
12000,10,0.772833333333333,0.791833333333333,0.782333333333333,0.862689861111111,0.8624525
13000,1,0.768153846153846,0.779076923076923,0.773615384615385,0.854403633136095,0.85423524260355
13000,2,0.772923076923077,0.789384615384615,0.781153846153846,0.861299360946746,0.861124615384615
13000,3,0.768769230769231,0.792307692307692,0.780538461538462,0.860460106508876,0.860188923076923
13000,4,0.754769230769231,0.799076923076923,0.776923076923077,0.857860153846154,0.857435053254438
13000,5,0.764615384615385,0.795692307692308,0.780153846153846,0.859869467455621,0.859239834319527
13000,6,0.740461538461539,0.806769230769231,0.773615384615385,0.855202142011834,0.855025372781065
13000,7,0.783076923076923,0.798307692307692,0.790692307692308,0.866256875739645,0.865849656804734
13000,8,0.768923076923077,0.792923076923077,0.780923076923077,0.860267976331361,0.859908331360947
13000,9,0.759846153846154,0.799692307692308,0.779769230769231,0.857368272189349,0.857025893491124
13000,10,0.765846153846154,0.794461538461538,0.780153846153846,0.857495431952663,0.857137420118343
14000,1,0.756857142857143,0.790714285714286,0.773785714285714,0.853336520408163,0.852891673469388
14000,2,0.770571428571429,0.789714285714286,0.780142857142857,0.856956326530612,0.856509795918367
14000,3,0.761571428571429,0.790571428571429,0.776071428571429,0.856687408163265,0.856480795918367
14000,4,0.747142857142857,0.794857142857143,0.771,0.850411673469388,0.849869408163265
14000,5,0.746428571428571,0.812428571428571,0.779428571428571,0.856988102040816,0.856841306122449
14000,6,0.760428571428571,0.791142857142857,0.775785714285714,0.855097193877551,0.854478081632653
14000,7,0.771,0.788,0.7795,0.858067275510204,0.857418448979592
14000,8,0.762571428571429,0.789428571428571,0.776,0.857212214285714,0.856974448979592
14000,9,0.767428571428571,0.784285714285714,0.775857142857143,0.859211459183673,0.859047326530612
14000,10,0.741428571428571,0.804571428571429,0.773,0.850402530612245,0.850243469387755
15000,1,0.7464,0.794133333333333,0.770266666666667,0.849646577777778,0.849561813333333
15000,2,0.770133333333333,0.775333333333333,0.772733333333333,0.851306008888889,0.8507368
15000,3,0.758266666666667,0.7852,0.771733333333333,0.855490471111111,0.855069208888889
15000,4,0.764933333333333,0.7824,0.773666666666667,0.853717022222222,0.85327232
15000,5,0.7592,0.7836,0.7714,0.851318622222222,0.851111555555556
15000,6,0.7608,0.785066666666667,0.772933333333333,0.854764373333333,0.854476835555556
15000,7,0.754533333333333,0.7912,0.772866666666667,0.854159111111111,0.854041226666667
15000,8,0.756266666666667,0.794266666666667,0.775266666666667,0.857720862222222,0.857498755555556
15000,9,0.759333333333333,0.793066666666667,0.7762,0.855260826666667,0.854890471111111
15000,10,0.7584,0.792266666666667,0.775333333333333,0.854638168888889,0.854476444444444
